,few_shots_answer,rag_answer,answers,few_shots_time,rag_time
0,Contradicted,Contradicted,Entailment,2.325177042001087,2.9019812910009932
1,Contradicted,Entailment,Entailment,1.4274172499990527,1.2893686670013267
2,Entailment,Entailment,Entailment,6.236531959000786,1.8490280840014748
3,Entailment,Entailment,Entailment,1.867162541999278,1.6239699170000677
4,Entailment,Entailment,Entailment,1.689801583001099,1.068234875001508
5,Entailment,Entailment,Entailment,1.8044090000003052,1.1979054169987648
6,Entailment,Entailment,Entailment,2.2371396250000544,1.2295674580000195
7,Entailment,Entailment,Entailment,0.9109070000013162,1.60416400000031
8,Entailment,Entailment,Entailment,1.62770612499844,3.8137944580012118
9,Entailment,Entailment,Entailment,1.0325691660000302,1.1062834590011335
10,Entailment,Entailment,Entailment,1.2867495419995976,1.026912084000287
11,Entailment,Entailment,Entailment,1.0890768750014104,1.2912292080000043
12,Contradicted,Entailment,Entailment,1.221348917000796,1.25358899999992
13,Entailment,Entailment,Entailment,0.9516296249985317,1.066163833000246
14,Entailment,Entailment,Entailment,4.093542458998854,0.865878332999273
15,Entailment,Entailment,Entailment,1.0163002079989383,0.8806067500008794
16,Entailment,Entailment,Entailment,1.634030791999976,1.1763667499999428
17,Entailment,Entailment,Entailment,1.8274387910005316,1.4066173329993035
18,Entailment,Entailment,Entailment,1.0944815830007428,1.1695022080002673
19,Entailment,Entailment,Entailment,1.2201340000010532,1.2938522919994284
20,Contradiction,Contradiction,Contradiction,1.201563915999941,1.1519079999998212
21,Contradicted,Contradiction,Contradiction,1.096092541998587,1.4201440839988209
22,Entailment,Entailment,Entailment,4.070884916000068,1.3704754159989534
23,Entailment,Entailment,Entailment,1.6334072090012342,1.0489445000002888
24,Entailment,Entailment,Entailment,1.3214537910007493,1.7922767919990292
25,Contradicted,Entailment,Entailment,1.7582961670013901,1.09238970899969
26,Entailment,Entailment,Entailment,1.2347123330000613,6.878421374998652
27,Contradiction,Contradiction,Contradiction,0.971937792000972,1.170620583001437
28,Entailment,Entailment,Entailment,2.047977791999074,1.0608580419993814
29,Entailment,Entailment,Entailment,0.888702000000194,2.7652831670002342
30,Entailment,Entailment,Entailment,8.182257332999143,1.2620330409990856
31,Entailment,Entailment,Entailment,0.9838098339987482,1.2018145419988286
32,Entailment,Entailment,Entailment,1.5244822500008013,1.5342501659997652
33,Entailment,Entailment,Entailment,1.6168550829988817,1.3562528749989724
34,Entailment,Entailment,Entailment,1.1445571669992205,0.8833726660013781
35,Entailment,Entailment,Entailment,1.4828840419995686,1.1491474159993231
36,Entailment,Entailment,Entailment,1.2449702499998239,0.8838037909990817
37,Contradiction,Contradiction,Contradiction,1.2226719579994096,1.3649896670012822
38,Entailment,Entailment,Entailment,1.2278538749997097,1.1618857089997618
39,Entailment,Entailment,Entailment,1.0031284590004361,1.0103903750004974
40,Entailment,Entailment,Entailment,1.1374412920013128,1.0081787919989438
41,Entailment,Entailment,Entailment,1.2495754589999706,1.1786156660000415
42,Entailment,Entailment,Entailment,1.0092492080002557,1.040650500000993
43,Entailment,Entailment,Entailment,1.1663885829984793,2.3303111670011276
44,Contradicted,Entailment,Entailment,1.116988041998411,0.8352337080013967
45,Entailment,Entailment,Entailment,0.9157783749997179,1.5361511669998436
46,Entailment,Entailment,Entailment,1.0324769580001885,1.206530457999179
47,Entailment,Entailment,Entailment,0.9828211249987362,0.811248500000147
48,Entailment,Entailment,Entailment,1.1825609170009557,0.9537512500010052
49,Entailment,Entailment,Entailment,1.0161988330000895,1.5655571659990528
50,Entailment,Entailment,Entailment,1.1178353750001406,1.2901899589996901
51,Entailment,Entailment,Entailment,1.1095512499996403,1.0826240830010647
52,Entailment,Entailment,Entailment,0.9902013330010959,0.8247872499996447
53,Entailment,Entailment,Entailment,0.9529349169988564,0.9150959580001654
54,Entailment,Entailment,Entailment,2.331049541999164,1.0983853340003407
55,Contradicted,Entailment,Entailment,4.039800874999855,1.0262373750010738
56,Entailment,Entailment,Entailment,1.0122673749992828,0.8134617079995223
57,Contradicted,Entailment,Entailment,1.0040172499993787,1.6741932910008472
58,Contradicted,Entailment,Entailment,1.0083092499990016,1.1492528329999914
59,Entailment,Entailment,Entailment,1.1137234170000738,1.3118264999993698
60,Entailment,Entailment,Entailment,0.9812604159997136,1.3942703339998843
61,Entailment,Entailment,Entailment,1.4341640000002371,0.8359331669998937
62,Entailment,Entailment,Entailment,1.0691366250011924,1.3177442079995672
63,Entailment,Entailment,Entailment,0.9136031250000087,1.5872426669993729
64,Entailment,Entailment,Entailment,0.8651744580001832,0.6894784579999396
